unit,P,L,x,y,V,H,fees,costs,net,fee_required,active,at_boundary,tick_validated
Y,0.9199999999999999,5.454545454545454,1.1413022015565841,0.8681798436138751,1.9181778690459326,1.9272727272727272,0.05,0.01,1.9581778690459326,0.01909485822679468,true,false,false
Y,0.94,5.454545454545454,1.0804795250479642,0.9247416626359948,1.940392416181081,1.9454545454545453,0.05,0.01,1.980392416181081,0.015062129273464278,true,false,false
Y,0.96,5.454545454545454,1.0215675972344958,0.9807048933451153,1.9614097866902314,1.9636363636363634,0.05,0.01,2.0014097866902314,0.012226576946132042,true,false,false
Y,0.98,5.454545454545454,0.9644684248302393,1.0360881472427266,1.981267203576361,1.981818181818182,0.05,0.01,2.021267203576361,0.010550978241820932,true,false,false
Y,1,5.454545454545454,0.9090909090909088,1.0909090909090906,1.9999999999999996,2,0.05,0.01,2.0399999999999996,0.010000000000000444,true,false,false
Y,1.02,5.454545454545454,0.8553502344182231,1.1451845118338606,2.0176417509404483,2.018181818181818,0.05,0.01,2.0576417509404483,0.01054006724136979,true,false,false
Y,1.04,5.454545454545454,0.803167321950473,1.1989303784648562,2.034224393293348,2.036363636363636,0.05,0.01,2.074224393293348,0.01213924307028801,true,false,false
Y,1.06,5.454545454545454,0.7524683401305319,1.2521618950838178,2.0497783356221815,2.0545454545454547,0.05,0.01,2.0897783356221815,0.014767118923273195,true,false,false
Y,1.08,5.454545454545454,0.7031842653602333,1.3048935520435987,2.0643325586326506,2.0727272727272728,0.05,0.01,2.1043325586326507,0.018394714094622115,true,false,false
Y,1.1,5.454545454545454,0.6552504867941392,1.3571391718371904,2.0779147073107436,2.090909090909091,0.05,0.01,2.1179147073107436,0.02299438359834726,true,false,false
Y,1.12,5.454545454545454,0.6086064501258249,1.4089119514136523,2.0905511755545763,2.1090909090909093,0.05,0.01,2.1305511755545763,0.028539733536333094,true,false,false
Y,1.1400000000000001,5.454545454545454,0.5631953359001486,1.4602245011079875,2.102267184034157,2.1272727272727274,0.05,0.01,2.142267184034157,0.035005543238570296,true,false,false
Y,1.16,5.454545454545454,0.5189637684650511,1.5110888805103673,2.1130868519298263,2.1454545454545455,0.05,0.01,2.1530868519298263,0.042367693524719245,true,false,false
Y,1.18,5.454545454545454,0.47586155217267345,1.561516631563753,2.1230332631275077,2.163636363636363,0.05,0.01,2.1630332631275078,0.05060310050885541,true,false,false
Y,1.2,5.454545454545454,0.4338414318651465,1.6115188091472659,2.132128527385442,2.1818181818181817,0.05,0.01,2.172128527385442,0.05968965443273987,true,false,false
Y,1.22,5.454545454545454,0.39285887504646494,1.661106009374869,2.1403938369315565,2.2,0.05,0.01,2.1803938369315565,0.06960616306844368,true,false,false
Y,1.24,5.454545454545454,0.3528718734574969,1.7102883958145694,2.1478495189018654,2.218181818181818,0.05,0.01,2.1878495189018654,0.08033229927995243,true,false,false
Y,1.26,5.454545454545454,0.3138407620440793,1.759075723811904,2.1545150839874436,2.2363636363636363,0.05,0.01,2.1945150839874437,0.0918485523761927,true,false,false
Y,1.28,5.454545454545454,0.2757280535446422,1.8074773630825962,2.1604092716197383,2.254545454545455,0.05,0.01,2.2004092716197383,0.10413618292571657,true,false,false
Y,1.3,5.454545454545454,0.23849828712924998,1.8555023187225708,2.1655500919905957,2.2727272727272725,0.05,0.01,2.2055500919905957,0.11717718073667681,true,false,false
Y,1.32,5.454545454545454,0.20211788970084998,1.9031592507687578,2.16995486517388,2.290909090909091,0.05,0.01,2.20995486517388,0.1309542257352112,true,false,false
Y,1.34,5.454545454545454,0.16655504862559983,1.9504564924310321,2.173640257589336,2.309090909090909,0.05,0.01,2.213640257589336,0.1454506515015732,true,false,false
Y,1.3599999999999999,5.454545454545454,0.13177959479569606,1.9974020671039632,2.17662231602611,2.327272727272727,0.05,0.01,2.21662231602611,0.1606504112466174,true,false,false
Y,1.38,5.454545454545454,0.09776289504771898,2.044003704256762,2.178916499422614,2.3454545454545452,0.05,0.01,2.218916499422614,0.17653804603193124,true,false,false
Y,1.4,5.454545454545454,0.06447775306463566,2.0902688542904895,2.1805377085809794,2.3636363636363633,0.05,0.01,2.2205377085809794,0.19309865505538393,true,false,false
Y,1.42,5.454545454545454,0.03189831798194068,2.1362047024434454,2.1815003139778013,2.381818181818182,0.05,0.01,2.2215003139778013,0.21031786784038053,true,false,false
Y,1.44,5.454545454545454,0,2.181818181818181,2.181818181818181,2.3999999999999995,0.05,0.01,2.2218181818181812,0.22818181818181826,false,true,false
Y,1.46,5.454545454545454,0,2.181818181818181,2.181818181818181,2.418181818181818,0.05,0.01,2.2218181818181812,0.24636363636363678,false,false,false
Y,1.48,5.454545454545454,0,2.181818181818181,2.181818181818181,2.4363636363636365,0.05,0.01,2.2218181818181812,0.2645454545454553,false,false,false
Y,1.5,5.454545454545454,0,2.181818181818181,2.181818181818181,2.454545454545454,0.05,0.01,2.2218181818181812,0.28272727272727294,false,false,false
Y,1.52,5.454545454545454,0,2.181818181818181,2.181818181818181,2.4727272727272727,0.05,0.01,2.2218181818181812,0.30090909090909146,false,false,false
Y,1.54,5.454545454545454,0,2.181818181818181,2.181818181818181,2.490909090909091,0.05,0.01,2.2218181818181812,0.31909090909091,false,false,false
Y,1.56,5.454545454545454,0,2.181818181818181,2.181818181818181,2.509090909090909,0.05,0.01,2.2218181818181812,0.3372727272727276,false,false,false
Y,1.58,5.454545454545454,0,2.181818181818181,2.181818181818181,2.5272727272727273,0.05,0.01,2.2218181818181812,0.35545454545454613,false,false,false
Y,1.6,5.454545454545454,0,2.181818181818181,2.181818181818181,2.5454545454545454,0.05,0.01,2.2218181818181812,0.3736363636363642,false,false,false
Y,1.6199999999999999,5.454545454545454,0,2.181818181818181,2.181818181818181,2.5636363636363635,0.05,0.01,2.2218181818181812,0.3918181818181823,false,false,false
Y,1.64,5.454545454545454,0,2.181818181818181,2.181818181818181,2.5818181818181816,0.05,0.01,2.2218181818181812,0.41000000000000036,false,false,false
Y,1.66,5.454545454545454,0,2.181818181818181,2.181818181818181,2.5999999999999996,0.05,0.01,2.2218181818181812,0.42818181818181844,false,false,false
Y,1.68,5.454545454545454,0,2.181818181818181,2.181818181818181,2.618181818181818,0.05,0.01,2.2218181818181812,0.44636363636363696,false,false,false
Y,1.7,5.454545454545454,0,2.181818181818181,2.181818181818181,2.6363636363636362,0.05,0.01,2.2218181818181812,0.46454545454545504,false,false,false
Y,1.72,5.454545454545454,0,2.181818181818181,2.181818181818181,2.6545454545454543,0.05,0.01,2.2218181818181812,0.4827272727272731,false,false,false
Y,1.74,5.454545454545454,0,2.181818181818181,2.181818181818181,2.672727272727273,0.05,0.01,2.2218181818181812,0.5009090909090916,false,false,false
Y,1.76,5.454545454545454,0,2.181818181818181,2.181818181818181,2.690909090909091,0.05,0.01,2.2218181818181812,0.5190909090909097,false,false,false
Y,1.78,5.454545454545454,0,2.181818181818181,2.181818181818181,2.709090909090909,0.05,0.01,2.2218181818181812,0.5372727272727278,false,false,false
Y,1.8,5.454545454545454,0,2.181818181818181,2.181818181818181,2.7272727272727275,0.05,0.01,2.2218181818181812,0.5554545454545463,false,false,false
Y,1.82,5.454545454545454,0,2.181818181818181,2.181818181818181,2.745454545454545,0.05,0.01,2.2218181818181812,0.5736363636363639,false,false,false
Y,1.84,5.454545454545454,0,2.181818181818181,2.181818181818181,2.7636363636363637,0.05,0.01,2.2218181818181812,0.5918181818181825,false,false,false
Y,1.86,5.454545454545454,0,2.181818181818181,2.181818181818181,2.781818181818182,0.05,0.01,2.2218181818181812,0.610000000000001,false,false,false
Y,1.88,5.454545454545454,0,2.181818181818181,2.181818181818181,2.8,0.05,0.01,2.2218181818181812,0.6281818181818186,false,false,false
Y,1.9,5.454545454545454,0,2.181818181818181,2.181818181818181,2.8181818181818183,0.05,0.01,2.2218181818181812,0.6463636363636371,false,false,false
Y,1.92,5.454545454545454,0,2.181818181818181,2.181818181818181,2.836363636363636,0.05,0.01,2.2218181818181812,0.6645454545454548,false,false,false
Y,1.94,5.454545454545454,0,2.181818181818181,2.181818181818181,2.8545454545454545,0.05,0.01,2.2218181818181812,0.6827272727272733,false,false,false
Y,1.96,5.454545454545454,0,2.181818181818181,2.181818181818181,2.872727272727273,0.05,0.01,2.2218181818181812,0.7009090909090918,false,false,false
Y,1.98,5.454545454545454,0,2.181818181818181,2.181818181818181,2.8909090909090907,0.05,0.01,2.2218181818181812,0.7190909090909094,false,false,false
Y,2,5.454545454545454,0,2.181818181818181,2.181818181818181,2.909090909090909,0.05,0.01,2.2218181818181812,0.737272727272728,false,false,false
Y,2.02,5.454545454545454,0,2.181818181818181,2.181818181818181,2.927272727272727,0.05,0.01,2.2218181818181812,0.7554545454545456,false,false,false
Y,2.04,5.454545454545454,0,2.181818181818181,2.181818181818181,2.9454545454545453,0.05,0.01,2.2218181818181812,0.7736363636363641,false,false,false
Y,2.06,5.454545454545454,0,2.181818181818181,2.181818181818181,2.963636363636364,0.05,0.01,2.2218181818181812,0.7918181818181826,false,false,false
Y,2.08,5.454545454545454,0,2.181818181818181,2.181818181818181,2.9818181818181815,0.05,0.01,2.2218181818181812,0.8100000000000003,false,false,false
Y,2.1,5.454545454545454,0,2.181818181818181,2.181818181818181,3,0.05,0.01,2.2218181818181812,0.8281818181818188,false,false,false
Y,2.12,5.454545454545454,0,2.181818181818181,2.181818181818181,3.0181818181818185,0.05,0.01,2.2218181818181812,0.8463636363636373,false,false,false
Y,2.14,5.454545454545454,0,2.181818181818181,2.181818181818181,3.036363636363636,0.05,0.01,2.2218181818181812,0.864545454545455,false,false,false
Y,2.16,5.454545454545454,0,2.181818181818181,2.181818181818181,3.0545454545454547,0.05,0.01,2.2218181818181812,0.8827272727272735,false,false,false
Y,2.18,5.454545454545454,0,2.181818181818181,2.181818181818181,3.0727272727272728,0.05,0.01,2.2218181818181812,0.9009090909090915,false,false,false
Y,2.2,5.454545454545454,0,2.181818181818181,2.181818181818181,3.090909090909091,0.05,0.01,2.2218181818181812,0.9190909090909096,false,false,false
